"p","U:0","U:1","U:2","adjSource","adjnuTilda","checkRNS:0","checkRNS:1","checkRNS:2","dStar:0","dStar:1","dStar:2","nuTilda","nut","pNutpNuTilda","pNutpNuTildaFD","pRNSpNut:0","pRNSpNut:1","pRNSpNut:2","pRNSpNutFD:0","pRNSpNutFD:1","pRNSpNutFD:2","adjSensField","fdSensField","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00035324,0.5,0,0,0,5e-06,10,10,10,1,1,0,5e-06,5e-06,10,10,10,10,10,10,10,10,0,0,1,0,0,0.75,1
0.00035077,0.48,0,0,0,4.8e-06,10,10,10,1,1,0,4.8e-06,4.8e-06,10,10,10,10,10,10,10,10,-9.6166e-07,-9.6006e-07,1,0.01,0.01,0.75,1
0.00034831,0.46,0,0,0,4.6e-06,10,10,10,1,1,0,4.6e-06,4.6e-06,10,10,10,10,10,10,10,10,-1.9233e-06,-1.9201e-06,1,0.02,0.02,0.75,1
0.00034584,0.44,0,0,0,4.4e-06,10,10,10,1,1,0,4.4e-06,4.4e-06,10,10,10,10,10,10,10,10,-2.885e-06,-2.8802e-06,1,0.03,0.03,0.75,1
0.00034337,0.42,0,0,0,4.2e-06,10,10,10,1,1,0,4.2e-06,4.2e-06,10,10,10,10,10,10,10,10,-3.8466e-06,-3.8402e-06,1,0.04,0.04,0.75,1
0.00034091,0.4,0,0,0,4e-06,10,10,10,1,1,0,4e-06,4e-06,10,10,10,10,10,10,10,10,-4.8083e-06,-4.8003e-06,1,0.05,0.05,0.75,1
0.00033844,0.38,0,0,0,3.8e-06,10,10,10,1,1,0,3.8e-06,3.8e-06,10,10,10,10,10,10,10,10,-5.77e-06,-5.7604e-06,1,0.06,0.06,0.75,1
0.00033597,0.36,0,0,0,3.6e-06,10,10,10,1,1,0,3.6e-06,3.6e-06,10,10,10,10,10,10,10,10,-6.7316e-06,-6.7204e-06,1,0.07,0.07,0.75,1
0.00033351,0.34,0,0,0,3.4e-06,10,10,10,1,1,0,3.4e-06,3.4e-06,10,10,10,10,10,10,10,10,-7.6933e-06,-7.6805e-06,1,0.08,0.08,0.75,1
0.00033104,0.32,0,0,0,3.2e-06,10,10,10,1,1,0,3.2e-06,3.2e-06,10,10,10,10,10,10,10,10,-8.6549e-06,-8.6405e-06,1,0.09,0.09,0.75,1
0.00032857,0.3,0,0,0,3e-06,10,10,10,1,1,0,3e-06,3e-06,10,10,10,10,10,10,10,10,-9.6166e-06,-9.6006e-06,1,0.1,0.1,0.75,1
0.0003261,0.28,0,0,0,2.8e-06,10,10,10,1,1,0,2.8e-06,2.8e-06,10,10,10,10,10,10,10,10,-1.0578e-05,-1.0561e-05,1,0.11,0.11,0.75,1
0.00032364,0.26,0,0,0,2.6e-06,10,10,10,1,1,0,2.6e-06,2.6e-06,10,10,10,10,10,10,10,10,-1.154e-05,-1.1521e-05,1,0.12,0.12,0.75,1
